date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
01/09/2018,12.2,11.4,13.4,2.1,0,15,6.2,24.1,1022.5,
02/09/2018,13.1,11.4,15.8,0.2,0,41,6.4,20.4,1021,
03/09/2018,15,11.7,19.1,0,0,45,3.8,14.8,1016.8,
04/09/2018,17.2,12.9,22.4,0,0,64,3.7,18.5,1015.8,
05/09/2018,18.2,12.5,24.4,0,0,57,4.1,14.8,1015.6,
06/09/2018,18.2,14.2,23,1.8,0,222,4.9,24.1,1012.8,
07/09/2018,17,14.3,20.9,0,0,251,6.5,22.2,1015.2,
08/09/2018,17,12.5,23.2,0,0,11,3.7,14.8,1019.9,
09/09/2018,18.3,12.3,25.6,0,0,85,3.3,14.8,1020.9,
10/09/2018,19.4,13.5,26.1,0,0,151,3.6,16.7,1022.6,
11/09/2018,20.2,14.1,27.2,0,0,178,3.7,20.4,1024.4,
12/09/2018,21.2,14.5,28.4,5.1,0,194,3.9,20.4,1021.8,
13/09/2018,18.9,15.1,25.9,23.9,0,216,3.8,18.5,1018,
14/09/2018,17.7,14.8,21.6,0,,349,4.2,14.8,1019.1,
15/09/2018,17.3,13.8,21.2,0,0,2,4.7,18.5,1022.8,
16/09/2018,16.7,10.9,21.3,0,0,71,5.4,16.7,1022.2,
17/09/2018,18.9,13.4,25,0,0,77,3.4,14.8,1020,
18/09/2018,20.8,15.1,25.1,0.1,0,188,3.8,18.5,1018,
19/09/2018,19.6,14.4,26.2,0,0,161,3.5,14.8,1020,
20/09/2018,19.9,15.1,26.2,0,0,165,3.2,14.8,1019.4,
21/09/2018,18.2,11.6,26.2,0.7,0,225,9.3,44.5,1015.4,
22/09/2018,14.2,10.7,18.4,0.8,0,240,5.6,25.9,1022.8,
23/09/2018,19.4,11.4,26.9,9.3,0,239,20,75.9,1016.9,
24/09/2018,9.8,5.7,13.4,0,0,21,8.9,38.9,1030.3,
25/09/2018,9.3,4.6,14.8,0,0,50,12,42.6,1034.3,
26/09/2018,10.5,3,18,0,,84,5.2,29.6,1035,
27/09/2018,14.3,8.9,22.2,0,0,146,2.9,13,1030,
28/09/2018,16.2,11.1,22.3,0,0,179,4.1,25.9,1022.5,
29/09/2018,12.7,9.6,16.3,0,0,46,11.7,38.9,1022.3,
30/09/2018,13.3,7.7,20.6,27.4,0,257,4.7,25.9,1018,
01/10/2018,9.3,7.2,11.1,0.2,0,261,8.1,31.5,1017.8,
02/10/2018,8.8,4.8,12.2,0,0,279,5.5,22.2,1025.1,
03/10/2018,11.7,9,15.6,0,0,242,5.3,18.5,1026.1,
04/10/2018,12.2,8.6,18.3,0,0,44,7.5,27.8,1025.8,
05/10/2018,13.3,8,20.9,0,0,91,3.6,14.8,1021.6,
06/10/2018,15.4,11.3,21.3,0,0,191,3.3,14.8,1015,
07/10/2018,15.5,12.3,20.9,0,0,67,4,22.2,1013.5,
08/10/2018,13.3,10.4,17.5,0,0,39,5.3,18.5,1019.2,
09/10/2018,14.3,12.1,18.5,0,0,41,4.3,16.7,1021.3,
10/10/2018,15.1,12.2,20.2,0,0,48,6.8,22.2,1017.4,
11/10/2018,13.6,10,17.2,0,0,34,4.9,20.4,1015.5,
12/10/2018,15.6,10.9,21.9,0,0,76,2.7,13,1022.6,
13/10/2018,15,10.8,21,0,0,81,3,14.8,1022.1,
14/10/2018,15.3,9.2,21.9,0,0,83,3.5,14.8,1014.8,
15/10/2018,15.4,9.6,22.6,0,0,55,4.3,18.5,1013.9,
